order_id,customer_id,product_sku,product_name,quantity,total_price,status,tracking_number,order_date,expected_delivery
NC-10001,CUS-001,NB-P14-32,NovaBook Pro 14,1,289999,Delivered,TRK-100192,2026-08-15,2026-08-19
NC-10002,CUS-001,NC-65W,NovaCharge 65W USB-C Charger,2,19998,Processing,,2026-08-24,2026-08-28
NC-10003,CUS-002,NG-X16-32,NovaGame X16,1,399999,Shipped,TRK-928381,2026-08-22,2026-08-29
NC-10004,CUS-003,NP-S-256,NovaPhone S,1,149999,Cancelled,,2026-08-20,
NC-10005,CUS-004,NB-A15-16,NovaBook Air 15,1,219999,Shipped,TRK-775512,2026-08-23,2026-08-28
NC-10006,CUS-005,NP-U-512,NovaPhone Ultra,1,219999,Delivered,TRK-881290,2026-07-10,2026-07-14
NC-10007,CUS-006,NBUD-PRO,NovaBuds Pro,2,49998,Delivered,TRK-664411,2026-07-18,2026-07-22
NC-10008,CUS-007,NDIS-27,NovaVision 27-inch 4K Monitor,1,119999,Delivered,TRK-332190,2026-06-05,2026-06-10
NC-10009,CUS-008,NK-MECH,NovaType Mechanical Keyboard,3,44997,Delivered,TRK-112299,2026-06-14,2026-06-18
NC-10010,CUS-009,NB-P14-32,NovaBook Pro 14,2,579998,Delivered,TRK-990011,2026-05-12,2026-05-16
NC-10011,CUS-010,NP-L-128,NovaPhone Lite,1,89999,Delivered,TRK-445566,2026-05-20,2026-05-24
NC-10012,CUS-011,NM-RGB,NovaGrip Wireless Gaming Mouse,4,35996,Delivered,TRK-778899,2026-04-11,2026-04-15
NC-10013,CUS-012,NG-X16-32,NovaGame X16,2,799998,Delivered,TRK-556677,2026-04-25,2026-04-30
NC-10014,CUS-013,NB-E13-8,NovaBook Essential 13,3,449997,Delivered,TRK-223344,2026-03-08,2026-03-12
NC-10015,CUS-014,NC-120W,NovaCharge 120W Fast Hub,2,37998,Delivered,TRK-998877,2026-03-19,2026-03-23
NC-10016,CUS-015,NBUD-AIR,NovaBuds Air,5,64995,Delivered,TRK-334455,2026-02-14,2026-02-18
NC-10017,CUS-016,NP-S-256,NovaPhone S,2,299998,Delivered,TRK-119922,2026-02-22,2026-02-26
NC-10018,CUS-017,NB-P14-32,NovaBook Pro 14,1,289999,Delivered,TRK-887766,2026-01-15,2026-01-19
NC-10019,CUS-018,NPS-14,NovaProtect Sleeve 14,3,14997,Delivered,TRK-554433,2026-01-28,2026-02-01
NC-10020,CUS-019,NDIS-27,NovaVision 27-inch 4K Monitor,2,239998,Delivered,TRK-221100,2026-08-01,2026-08-06
NC-10021,CUS-020,NP-U-512,NovaPhone Ultra,2,439998,Processing,,2026-08-25,2026-08-30
NC-10022,CUS-021,NB-A15-16,NovaBook Air 15,2,439998,Delivered,TRK-443322,2026-07-28,2026-08-02
NC-10023,CUS-022,NK-MECH,NovaType Mechanical Keyboard,2,29998,Delivered,TRK-665544,2026-06-29,2026-07-03
NC-10024,CUS-023,NG-X16-32,NovaGame X16,1,399999,Delivered,TRK-991122,2026-05-30,2026-06-04
NC-10025,CUS-024,NBUD-PRO,NovaBuds Pro,3,74997,Delivered,TRK-332211,2026-04-18,2026-04-22
NC-10026,CUS-025,DELL-PRO,Dell Laptop i7,1,100000,Processing,TRK-333111,2026-09-01,2026-09-10
